"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business-investor-model-11-5.nlogo"
"Figure 12.1"
"04/21/2025 23:44:25:358 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-19","19","-19","19"
"[run number]","investors-n","wealth-start","profit-mean","risk-of-failing-max","decision-time-horizon","investors-color","businesses-color-positive","businesses-color-negative","failed-businesses-color","[step]","mean [wealth] of investors","mean [profit] of turtles-on patches","mean [risk-of-failing] of turtles-on patches","total-business-failures"
"80","25","0","5000","0.1","8","25","105","15","9","50","380175.62362072663","9016.457674654073","0.021734342603799507","22"
"75","25","0","5000","0.1","8","25","105","15","9","50","329743.11487459275","9625.803167734484","0.022012900812773902","39"
"76","25","0","5000","0.1","8","25","105","15","9","50","377129.54743762227","8885.197855347466","0.01658923089031271","23"
"79","25","0","5000","0.1","8","25","105","15","9","50","294213.4303966455","7875.028230483024","0.019852182683916763","40"
"82","25","0","5000","0.1","9","25","105","15","9","50","352776.24691380863","8368.054538520231","0.01874656714750224","26"
"85","25","0","5000","0.1","9","25","105","15","9","50","272607.4245491016","8070.458044518903","0.02542600378726654","42"
"81","25","0","5000","0.1","9","25","105","15","9","50","236292.10761973177","8583.242480577408","0.03222819136450549","38"
"83","25","0","5000","0.1","9","25","105","15","9","50","291614.0295063579","8546.07506647804","0.023126542153777043","33"
"84","25","0","5000","0.1","9","25","105","15","9","50","369322.41298602475","9335.021061541587","0.022316784879414454","30"
"89","25","0","5000","0.1","9","25","105","15","9","50","260394.79796610455","6950.702225621776","0.023402645862772017","26"
"87","25","0","5000","0.1","9","25","105","15","9","50","199064.0694084446","8043.166042747952","0.02287699951469212","48"
