"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business-investor-model-11-5.nlogo"
"Figure 12.2"
"04/21/2025 23:45:31:464 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-19","19","-19","19"
"[run number]","investors-n","wealth-start","profit-mean","risk-of-failing-max","decision-time-horizon","investors-color","businesses-color-positive","businesses-color-negative","failed-businesses-color","[step]","mean [risk-of-failing] of turtles-on patches"
"1","25","0","5000","0.1","1","25","105","15","9","28","0.032989341277507384"
"8","25","0","5000","0.1","1","25","105","15","9","28","0.03347108932883465"
"3","25","0","5000","0.1","1","25","105","15","9","33","0.029311957523030226"
"5","25","0","5000","0.1","1","25","105","15","9","40","0.026125737018755882"
"9","25","0","5000","0.1","1","25","105","15","9","47","0.023428041636798565"
"2","25","0","5000","0.1","1","25","105","15","9","29","0.03180878937179612"
"1","25","0","5000","0.1","1","25","105","15","9","29","0.027479171617929555"
"4","25","0","5000","0.1","1","25","105","15","9","28","0.02720678812096992"
"6","25","0","5000","0.1","1","25","105","15","9","43","0.026345776393363805"
"9","25","0","5000","0.1","1","25","105","15","9","48","0.022521229111006732"
"8","25","0","5000","0.1","1","25","105","15","9","29","0.035131741290530885"
"3","25","0","5000","0.1","1","25","105","15","9","34","0.02786012428755347"
"7","25","0","5000","0.1","1","25","105","15","9","38","0.03008335849903194"
"9","25","0","5000","0.1","1","25","105","15","9","49","0.02635574032301675"
"1","25","0","5000","0.1","1","25","105","15","9","30","0.028980312181514756"
"2","25","0","5000","0.1","1","25","105","15","9","30","0.034631147496509564"
"3","25","0","5000","0.1","1","25","105","15","9","35","0.02786012428755347"
"8","25","0","5000","0.1","1","25","105","15","9","30","0.03359370806409915"
"4","25","0","5000","0.1","1","25","105","15","9","29","0.03049139837897246"
"6","25","0","5000","0.1","1","25","105","15","9","44","0.028096069863993437"
"9","25","0","5000","0.1","1","25","105","15","9","50","0.02495892267568268"
"7","25","0","5000","0.1","1","25","105","15","9","39","0.028530864529787658"
"1","25","0","5000","0.1","1","25","105","15","9","31","0.028980312181514752"
"3","25","0","5000","0.1","1","25","105","15","9","36","0.024507514118422783"
"6","25","0","5000","0.1","1","25","105","15","9","45","0.02777554954363819"
"2","25","0","5000","0.1","1","25","105","15","9","31","0.027515493094821233"
"8","25","0","5000","0.1","1","25","105","15","9","31","0.03371870774779125"
"1","25","0","5000","0.1","1","25","105","15","9","32","0.028980312181514752"
"4","25","0","5000","0.1","1","25","105","15","9","30","0.034590254777590874"
"6","25","0","5000","0.1","1","25","105","15","9","46","0.027775549543638197"
"3","25","0","5000","0.1","1","25","105","15","9","37","0.029570863286340014"
"7","25","0","5000","0.1","1","25","105","15","9","40","0.029197869912109212"
