"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business-investor-model-10-4-2.nlogo"
"Figure 10.1.2"
"04/22/2025 02:27:19:289 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-19","19","-19","19"
"[run number]","investors-n","wealth-start","profit-mean","risk-of-failing-max","decision-time-horizon","sensing-radius","investors-color","businesses-color","failed-businesses-color","[step]","mean [wealth] of investors"
"5","25","0","5000","0.1","5","0","25","105","45","33","53454.334261605014"
"8","25","0","5000","0.1","5","0","25","105","45","29","47075.10804691108"
"6","25","0","5000","0.1","5","0","25","105","45","33","88049.2341678583"
"7","25","0","5000","0.1","5","0","25","105","45","34","57735.34997916719"
"2","25","0","5000","0.1","5","0","25","105","45","29","43553.101684057845"
"6","25","0","5000","0.1","5","0","25","105","45","34","90717.39277900552"
"4","25","0","5000","0.1","5","0","25","105","45","34","56710.16391442198"
"3","25","0","5000","0.1","5","0","25","105","45","32","66193.619944113"
"9","25","0","5000","0.1","5","0","25","105","45","38","18483.97799353873"
"8","25","0","5000","0.1","5","0","25","105","45","30","48698.38763473559"
"1","25","0","5000","0.1","5","0","25","105","45","31","67901.18459774437"
"7","25","0","5000","0.1","5","0","25","105","45","35","57996.75908612396"
"6","25","0","5000","0.1","5","0","25","105","45","35","93385.55139015276"
"4","25","0","5000","0.1","5","0","25","105","45","35","53726.81750817192"
"5","25","0","5000","0.1","5","0","25","105","45","34","51397.40371132569"
"9","25","0","5000","0.1","5","0","25","105","45","39","9598.381369022089"
"3","25","0","5000","0.1","5","0","25","105","45","33","62377.41330422414"
"1","25","0","5000","0.1","5","0","25","105","45","32","70091.54539121999"
"6","25","0","5000","0.1","5","0","25","105","45","36","73692.6414553348"
"8","25","0","5000","0.1","5","0","25","105","45","31","50321.66722256013"
"4","25","0","5000","0.1","5","0","25","105","45","36","55261.869436976835"
"2","25","0","5000","0.1","5","0","25","105","45","30","45054.93277661155"
"3","25","0","5000","0.1","5","0","25","105","45","34","62625.113029117674"
"7","25","0","5000","0.1","5","0","25","105","45","36","59653.809345727495"
"1","25","0","5000","0.1","5","0","25","105","45","33","53360.62030067306"
"6","25","0","5000","0.1","5","0","25","105","45","37","75739.65927353855"
"5","25","0","5000","0.1","5","0","25","105","45","35","52909.09205577643"
"9","25","0","5000","0.1","5","0","25","105","45","40","9844.493711817528"
"8","25","0","5000","0.1","5","0","25","105","45","32","51944.94681038464"
"1","25","0","5000","0.1","5","0","25","105","45","34","54977.60879463284"
"6","25","0","5000","0.1","5","0","25","105","45","38","77786.67709174228"
"5","25","0","5000","0.1","5","0","25","105","45","36","54420.780400227195"
"4","25","0","5000","0.1","5","0","25","105","45","37","56796.92136578175"
"2","25","0","5000","0.1","5","0","25","105","45","31","36327.4866781122"
"3","25","0","5000","0.1","5","0","25","105","45","35","64467.02811820936"
"7","25","0","5000","0.1","5","0","25","105","45","37","61310.85960533104"
"6","25","0","5000","0.1","5","0","25","105","45","39","70429.53092134044"
"1","25","0","5000","0.1","5","0","25","105","45","35","56594.597288592624"
"8","25","0","5000","0.1","5","0","25","105","45","33","50171.52494520617"
"9","25","0","5000","0.1","5","0","25","105","45","41","10090.606054612967"
"5","25","0","5000","0.1","5","0","25","105","45","37","24088.608941004426"
"6","25","0","5000","0.1","5","0","25","105","45","40","72235.41632957994"
"3","25","0","5000","0.1","5","0","25","105","45","36","56817.68194308999"
"4","25","0","5000","0.1","5","0","25","105","45","38","58331.97329458666"
"1","25","0","5000","0.1","5","0","25","105","45","36","52878.381541780785"
"9","25","0","5000","0.1","5","0","25","105","45","42","10336.718397408402"
"7","25","0","5000","0.1","5","0","25","105","45","38","62967.90986493459"
"6","25","0","5000","0.1","5","0","25","105","45","41","74041.30173781943"
"5","25","0","5000","0.1","5","0","25","105","45","38","24739.65242589644"
"8","25","0","5000","0.1","5","0","25","105","45","34","51691.87418596999"
"4","25","0","5000","0.1","5","0","25","105","45","39","59867.025223391574"
"2","25","0","5000","0.1","5","0","25","105","45","32","37499.34108708356"
"3","25","0","5000","0.1","5","0","25","105","45","37","42574.06630517216"
"6","25","0","5000","0.1","5","0","25","105","45","42","52583.843624269495"
"9","25","0","5000","0.1","5","0","25","105","45","43","9261.540946039846"
"1","25","0","5000","0.1","5","0","25","105","45","37","54347.2254734969"
"8","25","0","5000","0.1","5","0","25","105","45","35","51264.20964728642"
"5","25","0","5000","0.1","5","0","25","105","45","39","25390.695910788447"
"7","25","0","5000","0.1","5","0","25","105","45","39","64624.960124538135"
"1","25","0","5000","0.1","5","0","25","105","45","38","55816.069405213035"
"4","25","0","5000","0.1","5","0","25","105","45","40","61402.07715219648"
"9","25","0","5000","0.1","5","0","25","105","45","44","9476.925619203563"
"2","25","0","5000","0.1","5","0","25","105","45","33","38671.19549605492"
"6","25","0","5000","0.1","5","0","25","105","45","43","53835.83990103781"
"3","25","0","5000","0.1","5","0","25","105","45","38","19309.64366132874"
"5","25","0","5000","0.1","5","0","25","105","45","40","26041.73939568046"
"8","25","0","5000","0.1","5","0","25","105","45","36","52728.901351494605"
"9","25","0","5000","0.1","5","0","25","105","45","45","9692.310292367278"
"2","25","0","5000","0.1","5","0","25","105","45","34","33504.22215946154"
"7","25","0","5000","0.1","5","0","25","105","45","40","66282.01038414167"
"1","25","0","5000","0.1","5","0","25","105","45","39","57284.91333692917"
"4","25","0","5000","0.1","5","0","25","105","45","41","62937.1290810014"
"3","25","0","5000","0.1","5","0","25","105","45","39","19817.79217873213"
"6","25","0","5000","0.1","5","0","25","105","45","44","55087.83617780614"
"9","25","0","5000","0.1","5","0","25","105","45","46","9907.694965530996"
"8","25","0","5000","0.1","5","0","25","105","45","37","54193.593055702804"
"5","25","0","5000","0.1","5","0","25","105","45","41","26692.78288057247"
"2","25","0","5000","0.1","5","0","25","105","45","35","34489.640458269234"
